"Date","Time","Pt.Conc","Lat","Long","Route","sheetname","Day","period","minute"
2025-08-27,15:44:16,57600,-36.8467462,174.7620042,"1","Wed.PM","Wed","PM","(41.3,44.2]"
2025-08-27,15:58:09,72100,-36.8424002,174.7641626,"1","Wed.PM","Wed","PM","(56.1,59.1]"
2025-08-27,16:05:32,52300,-36.8434321,174.7680993,"1","Wed.PM","Wed","PM","(2.95,5.9]"
2025-08-27,16:11:54,64800,-36.8443123,174.7712454,"1","Wed.PM","Wed","PM","(8.85,11.8]"
2025-08-27,16:12:22,85200,-36.8445235,174.7711118,"1","Wed.PM","Wed","PM","(11.8,14.8]"
2025-08-27,16:35:24,76000,-36.8511676,174.7713373,"1","Wed.PM","Wed","PM","(32.5,35.4]"
2025-08-27,15:49:06,59200,-36.8515441,174.7682057,"2","Wed.PM","Wed","PM","(47.2,50.2]"
2025-08-27,16:10:15,72400,-36.8453647,174.7661885,"2","Wed.PM","Wed","PM","(8.85,11.8]"
2025-08-27,16:36:16,476000,-36.853212,174.7683942,"2","Wed.PM","Wed","PM","(35.4,38.4]"
2025-08-27,15:58:39,98100,-36.8496242,174.7604875,"3","Wed.PM","Wed","PM","(56.1,59.1]"
2025-08-27,16:10:50,59300,-36.8473053,174.7563649,"3","Wed.PM","Wed","PM","(8.85,11.8]"
2025-08-27,16:12:43,113000,-36.8462254,174.7564471,"3","Wed.PM","Wed","PM","(11.8,14.8]"
2025-08-27,16:24:45,58600,-36.8435169,174.7623922,"3","Wed.PM","Wed","PM","(23.6,26.6]"
